x,y,vocab,count
-14.957837,24.285223,precaución,156
-0.2567915,-5.860309,pasar,1247
-3.7714992,-41.242073,calles,1256
-14.845423,-19.594847,laterales,18
-8.965366,-27.767693,roja,276
11.049129,-42.717304,sede,1042
-11.30608,34.579433,llegar,2311
2.928814,21.857447,mirar,166
-7.4947248,45.070843,viene,579
52.02608,11.394327,lavín,73
6.564294,-15.769231,pariente,36
-21.243128,7.863681,afectada,548
-36.424168,-22.914366,malas_condiciones,149
14.22555,52.782345,dicha,1178
8.934141,2.9503794,habrían,1063
9.260934,5.5052238,planeado,60
-8.969705,35.602802,cambio,2476
48.073395,-13.113227,alejandra,148
54.58857,13.871602,conversación_radio,156
49.148403,12.141694,bío_bío,1746
-25.235298,-22.994123,variedad,105
-21.852898,-15.786841,materiales,287
-18.479973,-23.94887,cemento,106
53.05966,0.43656066,fierro,54
-18.315979,-21.473234,madera,321
-15.746808,14.78212,base,1288
9.615262,28.74657,firme,329
-20.003555,-0.1375785,sufrían,17
-32.452965,-24.59857,humedad,81
-14.941976,-3.1431997,niños,3181
-14.503541,-12.498377,rescatados,159
-25.325127,46.022484,encuentran,1382
2.807376,-26.223743,riesgo_vital,218
11.524723,-13.492646,parientes,89
3.9899597,-5.6854405,iban,360
0.5180555,-5.9972906,cambiarse,46
-53.242367,-15.841531,viernes,4438
-24.828865,17.182127,conscientes,104
-13.515048,-10.742005,vivían,106
-4.0565615,-24.850855,viva,204
5.0573416,-10.139897,quejaba,11
-14.095646,20.875948,constantemente,281
-21.251627,2.6940596,problemas,2022
-34.681515,-19.58384,filtraciones,106
